Name	PValue	PFDR	up-regulation or down-regulation
KDR	3.16304E-19	4.94222E-19	up-regulation
MMP9	7.93325E-18	1.03691E-17	up-regulation
CNN1	1.29203E-26	4.87994E-26	up-regulation
CLDN3	2.4809E-05	7.41382E-06	up-regulation
CEBPD	1.12458E-32	9.58182E-32	up-regulation
HDHD1	4.59233E-14	3.8469E-14	down-regulation
FABP4	2.26697E-08	9.8038E-09	up-regulation
PTPN3	3.01535E-34	3.24769E-33	down-regulation
FCGR3A	2.09219E-19	3.33068E-19	up-regulation
FCGR3B	4.81441E-16	5.11404E-16	up-regulation
DUSP4	5.09647E-10	2.64227E-10	down-regulation
IQCJ-SCHIP1	1.85058E-33	1.77698E-32	up-regulation
SCHIP1	1.85058E-33	1.77229E-32	up-regulation
BCAR3	5.30097E-26	1.86622E-25	down-regulation
SCG2	7.57764E-12	4.86285E-12	down-regulation
SFRP4	1.89191E-41	6.54001E-40	up-regulation
ME1	9.99722E-32	7.39034E-31	down-regulation
TPM2	2.27395E-32	1.87158E-31	up-regulation
CCL4	3.27018E-12	2.18876E-12	up-regulation
NID2	5.62557E-32	4.28969E-31	up-regulation
IL2RG	9.9023E-24	2.57649E-23	up-regulation
TYROBP	8.20887E-15	7.51462E-15	up-regulation
GSTM4	3.70012E-09	1.73831E-09	up-regulation
EMILIN1	9.86814E-19	1.45543E-18	up-regulation
WASF1	2.96779E-29	1.57487E-28	up-regulation
SBNO2	2.1847E-36	3.21042E-35	up-regulation
MGST2	1.72242E-21	3.44832E-21	down-regulation
CD37	1.04177E-29	5.81737E-29	up-regulation
PIGR	1.46152E-10	8.04495E-11	down-regulation
GLIPR1	4.24322E-16	4.53251E-16	up-regulation
PRELP	1.93083E-30	1.2021E-29	up-regulation
CHKA	4.21456E-37	7.08216E-36	down-regulation
ACOX3	6.41742E-21	1.21382E-20	down-regulation
GNA11	2.60486E-12	1.7623E-12	down-regulation
ELOVL6	1.135E-38	2.43767E-37	down-regulation
FADS3	2.14185E-30	1.32666E-29	up-regulation
MMP7	3.20285E-07	1.20457E-07	up-regulation
CHGB	1.55157E-13	1.20955E-13	down-regulation
CPT2	5.65531E-27	2.23848E-26	down-regulation
GPSM3	2.16325E-39	5.45269E-38	up-regulation
LGALS4	1.12844E-13	8.94485E-14	down-regulation
TEAD4	7.28551E-17	8.59128E-17	up-regulation
LOX	5.74526E-26	2.01093E-25	up-regulation
PROM1	8.61974E-11	4.87637E-11	down-regulation
COL11A1	2.56688E-20	4.52277E-20	up-regulation
TRIM16	1.37023E-28	6.64016E-28	down-regulation
COL16A1	3.13775E-19	4.91327E-19	up-regulation
S100P	4.7163E-26	1.67011E-25	down-regulation
FLRT2	1.67811E-18	2.39991E-18	up-regulation
LOC100506718	1.67811E-18	2.39897E-18	up-regulation
REEP1	1.68357E-05	5.13556E-06	up-regulation
BCAS1	1.93812E-39	4.95404E-38	down-regulation
MAOA	1.35914E-15	1.37492E-15	down-regulation
KCNN4	1.19465E-14	1.07278E-14	down-regulation
APOC1	2.48936E-14	2.15235E-14	up-regulation
GSTM2	1.76737E-13	1.36838E-13	up-regulation
FOSL1	9.13085E-21	1.69959E-20	up-regulation
FOLR1	1.14861E-06	4.05038E-07	down-regulation
CD83	4.54938E-13	3.36171E-13	up-regulation
GAS1	1.38778E-24	4.05895E-24	up-regulation
EDNRA	1.67969E-42	7.435E-41	up-regulation
PTPRZ1	7.53654E-08	3.05712E-08	down-regulation
CXCL1	2.81746E-09	1.34188E-09	up-regulation
GEM	2.58796E-37	4.55992E-36	up-regulation
OSTF1	5.86492E-22	1.2355E-21	down-regulation
PIK3C2B	1.84296E-31	1.30142E-30	down-regulation
TOM1L1	2.5202E-32	2.03278E-31	down-regulation
PPP3R1	3.86035E-37	6.5783E-36	down-regulation
ELMO1	1.28962E-17	1.63553E-17	up-regulation
PLLP	2.42773E-29	1.30546E-28	down-regulation
UGT1A1	1.21837E-24	3.59536E-24	down-regulation
UGT1A10	8.69518E-28	3.80707E-27	down-regulation
UGT1A4	8.69518E-28	3.80248E-27	down-regulation
UGT1A6	2.07532E-26	7.68646E-26	down-regulation
UGT1A8	1.76668E-24	5.09329E-24	down-regulation
UGT1A9	1.76668E-24	5.08924E-24	down-regulation
CXCL10	0.000310156	8.02511E-05	up-regulation
EEF1A2	2.32283E-12	1.58153E-12	down-regulation
RAB40B	1.60726E-13	1.25002E-13	down-regulation
GSTM1	1.68544E-14	1.48847E-14	up-regulation
FKBP5	1.20721E-17	1.53638E-17	up-regulation
SELL	1.00509E-14	9.09761E-15	up-regulation
ABCG1	8.46948E-10	4.28212E-10	down-regulation
COX7A1	1.16959E-20	2.15056E-20	up-regulation
MMP19	7.89861E-37	1.26855E-35	up-regulation
MMP12	0.003242838	0.000739999	up-regulation
STC1	7.41322E-19	1.1073E-18	up-regulation
CCL21	1.5065E-16	1.70239E-16	up-regulation
VCAN	1.73515E-26	6.43969E-26	up-regulation
NR4A2	9.50257E-16	9.7681E-16	up-regulation
ATP7B	1.25878E-15	1.27946E-15	down-regulation
PARVB	2.85183E-39	6.99406E-38	up-regulation
COL17A1	1.59476E-18	2.28974E-18	down-regulation
S1PR1	4.73941E-23	1.13323E-22	up-regulation
FOXA1	8.69721E-14	7.01823E-14	down-regulation
CDH5	1.11188E-20	2.0486E-20	up-regulation
LTBP2	9.1779E-19	1.35859E-18	up-regulation
HHEX	4.03923E-11	2.38082E-11	up-regulation
CDC42EP1	6.29007E-29	3.1578E-28	up-regulation
CHGA	4.4653E-11	2.61454E-11	down-regulation
ISG20	2.66054E-21	5.23691E-21	down-regulation
F5	1.49934E-06	5.21575E-07	down-regulation
CDH13	7.17754E-19	1.07431E-18	up-regulation
KLK6	6.59232E-12	4.26219E-12	up-regulation
NAP1L3	2.03085E-13	1.55908E-13	up-regulation
DSC2	4.41537E-18	5.97997E-18	down-regulation
THBS4	6.84555E-33	6.00171E-32	up-regulation
MAL	3.55327E-13	2.65047E-13	down-regulation
HOXB7	0.000371058	9.49532E-05	up-regulation
FAS	1.48771E-07	5.82071E-08	up-regulation
VSIG4	2.24843E-14	1.95334E-14	up-regulation
SMAD7	2.62872E-22	5.8073E-22	down-regulation
DUSP2	1.9333E-23	4.88326E-23	up-regulation
HSD17B2	3.12551E-14	2.66868E-14	down-regulation
ENPEP	1.21487E-05	3.76726E-06	up-regulation
B3GNT3	6.37261E-20	1.07434E-19	down-regulation
GMDS	1.08027E-21	2.20778E-21	down-regulation
PDPN	2.35597E-34	2.57571E-33	up-regulation
AOC3	7.94004E-10	4.0251E-10	up-regulation
GJA4	9.98067E-37	1.57507E-35	up-regulation
INHBA	9.99029E-48	1.13317E-45	up-regulation
TNFRSF11B	4.03722E-07	1.50218E-07	up-regulation
PLN	1.92259E-24	5.49477E-24	up-regulation
RHOH	1.8346E-12	1.26213E-12	up-regulation
MNDA	4.03643E-10	2.11474E-10	up-regulation
GC	1.12733E-10	6.30189E-11	down-regulation
CSTA	3.86604E-17	4.69941E-17	down-regulation
SLC22A18	5.72864E-14	4.74294E-14	down-regulation
PFN2	3.85219E-16	4.13062E-16	up-regulation
NMT2	2.33366E-18	3.27043E-18	down-regulation
TFF1	1.32775E-19	2.1689E-19	down-regulation
FGFBP1	0.001454556	0.000346518	down-regulation
ORM1	4.2045E-08	1.75574E-08	down-regulation
ORM2	4.759E-09	2.20636E-09	down-regulation
CYP2J2	9.80433E-11	5.51813E-11	down-regulation
MPDZ	1.86727E-15	1.85788E-15	up-regulation
CRIP1	6.32045E-13	4.59466E-13	down-regulation
AOX1	1.25356E-27	5.35295E-27	up-regulation
NAGPA	4.05272E-27	1.63809E-26	down-regulation
PLEKHA6	1.09111E-39	2.89078E-38	down-regulation
CCR1	5.3406E-14	4.43685E-14	up-regulation
GFPT2	4.60945E-33	4.10068E-32	up-regulation
CCL3	4.73664E-18	6.40075E-18	up-regulation
CCL3L1	4.73664E-18	6.39837E-18	up-regulation
CCL3L3	4.73664E-18	6.39599E-18	up-regulation
FPR1	2.17872E-18	3.06275E-18	up-regulation
CLEC11A	5.70875E-34	5.86994E-33	up-regulation
ACTC1	2.73715E-22	6.03214E-22	up-regulation
USH1C	2.43378E-14	2.10579E-14	down-regulation
ANG	1.11781E-34	1.27588E-33	down-regulation
KRT17	9.10158E-12	5.7866E-12	up-regulation
RNASE4	1.97435E-28	9.37989E-28	down-regulation
PEX11A	2.70385E-23	6.72197E-23	down-regulation
DDR2	6.23767E-42	2.26407E-40	up-regulation
SPINK5	1.10243E-11	6.93371E-12	down-regulation
PLS1	5.14502E-19	7.81369E-19	down-regulation
CA9	6.37983E-17	7.55519E-17	down-regulation
IL6	5.77352E-27	2.28278E-26	up-regulation
HCAR3	5.1515E-18	6.9227E-18	up-regulation
HGD	4.89885E-19	7.48367E-19	down-regulation
EHHADH	3.0561E-22	6.70655E-22	down-regulation
PDGFRL	2.92011E-32	2.33459E-31	up-regulation
SLC16A4	7.73375E-06	2.45977E-06	up-regulation
SOD3	1.28849E-16	1.46976E-16	up-regulation
FCN1	9.46506E-27	3.64703E-26	up-regulation
CXCL13	1.03515E-06	3.66884E-07	up-regulation
DOPEY2	5.58856E-27	2.21448E-26	down-regulation
EGR2	3.04686E-23	7.51808E-23	up-regulation
INHBB	6.44514E-17	7.62507E-17	up-regulation
NR3C2	1.75132E-30	1.09598E-29	down-regulation
ACYP1	5.1121E-19	7.78324E-19	down-regulation
LIF	4.14377E-18	5.62472E-18	up-regulation
LRP8	6.53502E-15	6.06804E-15	up-regulation
BMP2	2.27976E-33	2.15489E-32	down-regulation
KCNJ8	1.46571E-47	1.61213E-45	up-regulation
SPI1	3.01172E-23	7.44656E-23	up-regulation
PSCA	1.74933E-11	1.07655E-11	down-regulation
MN1	5.06253E-18	6.80819E-18	up-regulation
SULT1C2	1.1787E-40	3.56525E-39	down-regulation
AGTR1	2.96737E-24	8.27868E-24	up-regulation
PDZK1	0.011347968	0.002410002	down-regulation
FXYD1	1.71189E-22	3.87864E-22	up-regulation
CCL14	9.69538E-20	1.60323E-19	up-regulation
IL1R2	5.5673E-30	3.20245E-29	down-regulation
HSD11B1	5.78358E-25	1.77301E-24	up-regulation
ATP2B4	1.08045E-18	1.58387E-18	up-regulation
GPR183	6.90787E-10	3.52698E-10	up-regulation
PEX7	1.10642E-17	1.41306E-17	down-regulation
BMP5	8.78803E-17	1.02302E-16	down-regulation
BCHE	4.64382E-09	2.15516E-09	up-regulation
ZNF211	2.49037E-14	2.15271E-14	down-regulation
MST1R	8.20254E-28	3.61316E-27	down-regulation
CD3E	5.77482E-23	1.36463E-22	up-regulation
PDGFA	1.35228E-23	3.46634E-23	down-regulation
SCNN1B	1.97029E-09	9.53535E-10	down-regulation
KLK11	2.23922E-09	1.07779E-09	down-regulation
SCRG1	2.79996E-30	1.69665E-29	up-regulation
PLAU	1.83823E-27	7.70457E-27	up-regulation
GCNT1	4.0335E-36	5.58788E-35	down-regulation
TCN1	5.90128E-06	1.90245E-06	down-regulation
PRSS12	7.2475E-16	7.57226E-16	down-regulation
HAPLN1	3.58883E-20	6.22967E-20	down-regulation
ETFDH	5.82518E-18	7.76477E-18	down-regulation
CORO2A	1.51665E-13	1.18411E-13	down-regulation
AQP9	1.47862E-20	2.69152E-20	up-regulation
ANGPT2	7.73686E-45	5.01468E-43	up-regulation
PYGM	2.89596E-19	4.54447E-19	up-regulation
GGT5	8.42047E-28	3.70018E-27	up-regulation
ZNF652	1.43132E-25	4.74014E-25	up-regulation
MMRN1	1.66935E-18	2.38927E-18	up-regulation
MEOX1	5.83564E-18	7.773E-18	up-regulation
ALDH3A1	8.84957E-15	8.05441E-15	down-regulation
PAX6	2.86734E-12	1.93017E-12	down-regulation
WNT2	2.895E-29	1.53849E-28	up-regulation
OASL	3.67039E-24	1.01003E-23	down-regulation
FMO1	4.88059E-38	9.8966E-37	up-regulation
GAL3ST1	2.73193E-24	7.66306E-24	down-regulation
BCL2A1	1.81213E-09	8.80865E-10	up-regulation
TPSAB1	8.69581E-29	4.31187E-28	up-regulation
CD86	1.36032E-14	1.21404E-14	up-regulation
SCGN	3.88296E-15	3.70891E-15	down-regulation
CDS1	8.19321E-35	9.53161E-34	down-regulation
COMP	1.85116E-22	4.17854E-22	up-regulation
RBM42	3.21955E-33	2.95099E-32	up-regulation
BPHL	2.93957E-12	1.97623E-12	down-regulation
F8	1.057E-20	1.95047E-20	up-regulation
CYP3A5	1.30584E-28	6.34508E-28	down-regulation
SLC27A2	0.00035255	9.04722E-05	down-regulation
RAMP2	4.34707E-33	3.88631E-32	up-regulation
ITGAM	3.63149E-08	1.52948E-08	up-regulation
NRXN3	5.01732E-18	6.7524E-18	up-regulation
IL7R	8.23094E-11	4.66951E-11	up-regulation
TUFT1	2.52796E-18	3.53181E-18	down-regulation
REG3A	5.00563E-05	1.43672E-05	down-regulation
PCSK1	3.0148E-06	1.00808E-06	down-regulation
MMP3	8.23603E-06	2.60969E-06	up-regulation
GAS2	1.65952E-21	3.32606E-21	down-regulation
SLC14A1	2.19702E-10	1.18509E-10	down-regulation
LY86	2.20736E-13	1.68709E-13	up-regulation
S100A12	8.70587E-28	3.80257E-27	up-regulation
ITPKA	6.21757E-28	2.76904E-27	down-regulation
ZBTB16	1.34954E-12	9.42538E-13	up-regulation
REG1B	0.006061887	0.001336408	up-regulation
FABP1	0.026946889	0.00541334	down-regulation
OMD	5.4241E-32	4.1623E-31	up-regulation
VNN2	3.06203E-08	1.30433E-08	up-regulation
CTSE	1.0329E-25	3.48427E-25	down-regulation
GPA33	0.006961602	0.00152182	down-regulation
COL10A1	1.02511E-27	4.4401E-27	up-regulation
AADAC	5.44175E-31	3.59777E-30	down-regulation
SCGB2A1	2.35364E-27	9.7857E-27	down-regulation
PRRX1	9.42381E-43	4.32978E-41	up-regulation
IL15	1.59745E-14	1.41593E-14	down-regulation
ADAM28	6.03653E-19	9.10287E-19	down-regulation
GPR64	3.04113E-19	4.76611E-19	down-regulation
NMU	6.03753E-14	4.97824E-14	down-regulation
TNFAIP6	1.80692E-23	4.57359E-23	up-regulation
NOL4	2.05418E-08	8.91439E-09	down-regulation
OVOL2	3.06268E-26	1.10943E-25	down-regulation
SELP	3.59693E-20	6.24075E-20	up-regulation
EPHA3	9.69127E-23	2.24337E-22	up-regulation
PTPRR	7.09361E-19	1.06307E-18	down-regulation
UGT1A3	1.92152E-22	4.32392E-22	down-regulation
UGT1A5	1.92152E-22	4.32124E-22	down-regulation
UGT1A7	4.37993E-27	1.76054E-26	down-regulation
RNASE2	1.11695E-16	1.28459E-16	up-regulation
EGR3	4.25563E-23	1.02703E-22	up-regulation
AMPD1	1.44412E-21	2.91204E-21	down-regulation
ELK3	5.35904E-32	4.12108E-31	up-regulation
FZD5	7.6087E-31	4.95818E-30	down-regulation
ADRB2	2.11497E-13	1.6192E-13	down-regulation
IL13RA2	2.11657E-11	1.2903E-11	up-regulation
MEOX2	3.93499E-23	9.56645E-23	up-regulation
CA4	1.02192E-12	7.23045E-13	down-regulation
SELE	1.10591E-27	4.76732E-27	up-regulation
CPA2	0.000137974	3.73314E-05	down-regulation
PLA2G7	1.85066E-09	8.98392E-10	up-regulation
CST1	3.75135E-24	1.02996E-23	up-regulation
CILP	2.4087E-33	2.27085E-32	up-regulation
SPINK1	7.50152E-15	6.90716E-15	down-regulation
TM4SF5	1.56602E-22	3.56818E-22	down-regulation
ADH1C	3.08517E-30	1.84484E-29	down-regulation
FMO4	1.18326E-20	2.1746E-20	down-regulation
TLR3	4.40044E-17	5.31873E-17	down-regulation
TDGF1	1.97211E-07	7.5948E-08	down-regulation
TDGF1P3	1.97211E-07	7.59399E-08	down-regulation
NTS	0.002703427	0.000623335	down-regulation
SULT2A1	0.003034622	0.000694581	down-regulation
IL18	4.40889E-12	2.90854E-12	down-regulation
SPINK2	7.8251E-08	3.16815E-08	down-regulation
DAPK2	1.65683E-15	1.66126E-15	down-regulation
CALCRL	8.69928E-26	2.97601E-25	up-regulation
LIPF	1.85672E-05	5.63578E-06	down-regulation
CXCL6	4.00554E-10	2.09946E-10	up-regulation
CCR7	7.5943E-15	6.98904E-15	up-regulation
IL2RA	2.14187E-33	2.03515E-32	up-regulation
SOCS3	9.25449E-17	1.07422E-16	up-regulation
PDE3A	7.09915E-33	6.20905E-32	up-regulation
RARRES1	4.14944E-08	1.73375E-08	up-regulation
ASAP2	6.71899E-38	1.29722E-36	down-regulation
F2RL1	3.12816E-12	2.09874E-12	down-regulation
HAS2	3.81576E-19	5.91373E-19	up-regulation
TNFRSF6B	4.73095E-15	4.47298E-15	up-regulation
AKR7A3	4.51304E-32	3.5152E-31	down-regulation
PLXNC1	1.40445E-28	6.79693E-28	up-regulation
NAPA	3.9541E-37	6.70658E-36	up-regulation
INSM1	1.94806E-20	3.49522E-20	down-regulation
SIX2	1.5079E-15	1.51906E-15	up-regulation
AIM2	4.48004E-06	1.46483E-06	up-regulation
CYP4F3	2.84845E-12	1.91781E-12	down-regulation
MGAM	3.7063E-12	2.46611E-12	down-regulation
ABAT	6.25518E-15	5.81712E-15	down-regulation
MRAS	2.47815E-32	2.00778E-31	up-regulation
CYP4F12	1.67647E-30	1.05278E-29	down-regulation
MIA	1.28033E-05	3.9584E-06	down-regulation
AKR1B10	1.94233E-27	8.13149E-27	down-regulation
PTP4A3	5.70342E-26	1.99821E-25	up-regulation
VIP	7.97294E-19	1.18506E-18	up-regulation
EFEMP2	2.24809E-27	9.37911E-27	up-regulation
LY96	1.59316E-11	9.84449E-12	up-regulation
SLC16A5	3.45636E-22	7.48535E-22	down-regulation
TAF1A	5.92634E-14	4.89434E-14	down-regulation
RENBP	3.73011E-29	1.93969E-28	up-regulation
RASA2	2.0433E-23	5.13963E-23	up-regulation
TNFRSF17	3.073E-20	5.37023E-20	down-regulation
BCL2L1	1.64265E-24	4.74703E-24	up-regulation
GZMK	2.22435E-09	1.07106E-09	up-regulation
GP2	5.73594E-06	1.85128E-06	down-regulation
IL7	2.54607E-10	1.36344E-10	down-regulation
XK	6.04318E-28	2.698E-27	down-regulation
GPT	2.51882E-11	1.52197E-11	down-regulation
EPB41L3	2.62683E-06	8.84711E-07	up-regulation
GRTP1	1.34899E-17	1.70724E-17	down-regulation
LPAR2	6.85686E-14	5.61809E-14	down-regulation
FIGF	3.27195E-15	3.15602E-15	up-regulation
PIR-FIGF	3.27195E-15	3.15518E-15	up-regulation
CYP2B7P	9.69408E-08	3.87642E-08	down-regulation
KCNJ2	5.87593E-12	3.81737E-12	up-regulation
SLC35A3	2.41679E-14	2.09259E-14	down-regulation
KLRC1	1.27917E-07	5.04178E-08	down-regulation
KLRC2	1.27917E-07	5.04123E-08	down-regulation
F2RL2	5.31949E-11	3.08828E-11	up-regulation
WISP1	4.5295E-47	4.56683E-45	up-regulation
CTF1	7.61941E-30	4.33478E-29	up-regulation
FBP2	1.34533E-14	1.20126E-14	down-regulation
FKBP1B	3.16412E-20	5.52681E-20	down-regulation
HOXC6	3.93541E-35	4.82576E-34	up-regulation
GCKR	6.86509E-16	7.1955E-16	down-regulation
SALL1	1.0222E-19	1.68878E-19	down-regulation
NKX2-2	1.94445E-07	7.49147E-08	down-regulation
CH25H	7.78582E-16	8.10205E-16	up-regulation
B3GALT5	1.67437E-07	6.50059E-08	down-regulation
CST4	9.08014E-16	9.37368E-16	up-regulation
PLAGL1	1.25283E-15	1.27377E-15	up-regulation
CXCR2	3.06539E-09	1.45366E-09	up-regulation
RAB27B	6.74253E-37	1.10738E-35	down-regulation
CSRP2	2.86865E-11	1.72246E-11	up-regulation
GIF	3.82908E-09	1.79564E-09	down-regulation
THRB	3.67809E-17	4.48748E-17	down-regulation
ASS1	1.42939E-05	4.39381E-06	up-regulation
LILRB1	8.08317E-28	3.56924E-27	up-regulation
LTK	3.81183E-16	4.09098E-16	down-regulation
SULT1A2	1.3374E-08	5.90764E-09	down-regulation
ZNF223	4.13936E-20	7.14432E-20	down-regulation
TPSB2	1.0558E-27	4.56757E-27	up-regulation
ATP4A	3.37985E-06	1.12342E-06	down-regulation
APOBEC1	5.06451E-24	1.36369E-23	down-regulation
CDH11	1.27002E-35	1.65819E-34	up-regulation
ADIPOQ	8.80274E-12	5.61036E-12	up-regulation
FRK	1.07818E-36	1.68683E-35	down-regulation
CASP7	1.54451E-25	5.10107E-25	down-regulation
ISLR	7.79211E-39	1.71411E-37	up-regulation
OTC	4.48244E-08	1.86452E-08	down-regulation
NR1I2	1.80479E-08	7.87163E-09	down-regulation
LOC100652777	5.48042E-37	9.08314E-36	down-regulation
PLA2G10	5.48042E-37	9.04186E-36	down-regulation
SLC28A2	4.37698E-23	1.05491E-22	down-regulation
MEP1B	0.024680136	0.004990288	down-regulation
LINC00483	1.24914E-08	5.53732E-09	down-regulation
PLXNA2	2.23262E-25	7.26133E-25	down-regulation
PRRG4	5.67942E-24	1.51243E-23	down-regulation
CASQ2	3.63995E-17	4.44244E-17	up-regulation
BTC	6.64153E-15	6.15748E-15	down-regulation
SH2D2A	4.99923E-22	1.06239E-21	up-regulation
TREH	9.92988E-11	5.5836E-11	down-regulation
UGT2B15	1.6403E-14	1.45178E-14	down-regulation
ZNF137P	4.78258E-14	3.99521E-14	down-regulation
RAC2	3.45005E-12	2.30321E-12	up-regulation
TNFSF4	1.13348E-27	4.86883E-27	up-regulation
MSMB	5.24202E-12	3.42393E-12	down-regulation
DNAJB5	2.44523E-35	3.07106E-34	up-regulation
PIR	7.11022E-13	5.13076E-13	down-regulation
MEIS2	1.14445E-19	1.88047E-19	down-regulation
GUCA2B	2.0863E-05	6.28899E-06	down-regulation
LAIR2	8.88591E-13	6.33155E-13	up-regulation
BDKRB1	1.00907E-18	1.48523E-18	up-regulation
SLC7A11	1.71348E-15	1.7138E-15	down-regulation
AQP1	5.06324E-19	7.7218E-19	up-regulation
THEMIS2	5.46001E-11	3.16683E-11	up-regulation
SHH	1.24562E-16	1.42579E-16	down-regulation
SULT1B1	3.38092E-20	5.87439E-20	down-regulation
ARHGAP12	2.41329E-27	9.99935E-27	down-regulation
TMPRSS15	0.012182427	0.002574565	down-regulation
BLNK	1.57339E-29	8.62672E-29	down-regulation
ACOX1	9.42181E-38	1.75375E-36	down-regulation
ENTPD1	2.09583E-17	2.61055E-17	up-regulation
FUT9	1.79488E-11	1.10271E-11	down-regulation
SERPINH1	3.06222E-39	7.4099E-38	up-regulation
BTBD2	3.36591E-34	3.60387E-33	up-regulation
DOK4	2.97246E-16	3.22446E-16	down-regulation
SORBS3	3.87512E-44	2.19771E-42	up-regulation
ADH1A	7.25554E-25	2.18731E-24	down-regulation
MAZ	1.24347E-40	3.69949E-39	up-regulation
ID3	4.80155E-19	7.34121E-19	down-regulation
CYB5A	3.72051E-22	8.02866E-22	down-regulation
MUC1	2.42525E-25	7.83171E-25	down-regulation
CXCL5	9.90425E-05	2.73836E-05	up-regulation
FLNC	4.49283E-20	7.71769E-20	up-regulation
GIP	0.010242656	0.002189225	down-regulation
DAZ1	0.043427551	0.008450066	down-regulation
DAZ2	0.043427551	0.008449613	down-regulation
DAZ3	0.043427551	0.00844916	down-regulation
DAZ4	0.043427551	0.008448707	down-regulation
PI15	2.78424E-31	1.89603E-30	up-regulation
MEF2C	3.03201E-18	4.19725E-18	up-regulation
NR4A3	3.49386E-43	1.76132E-41	up-regulation
CITED2	6.95978E-29	3.47478E-28	up-regulation
ESRRG	6.42088E-07	2.33267E-07	down-regulation
HCK	1.57269E-12	1.08979E-12	up-regulation
MGAT3	1.28551E-21	2.6096E-21	down-regulation
CAPN9	7.70599E-47	7.36057E-45	down-regulation
LAIR1	2.34564E-14	2.03438E-14	up-regulation
DGKD	5.26554E-14	4.3775E-14	down-regulation
COL21A1	1.26678E-11	7.92072E-12	up-regulation
CYP2C18	9.03246E-40	2.44663E-38	down-regulation
PTGIS	4.49079E-24	1.21552E-23	up-regulation
GAST	1.20987E-12	8.49075E-13	down-regulation
CPVL	2.20358E-13	1.68455E-13	up-regulation
ABCC3	6.04115E-28	2.70042E-27	down-regulation
PRSS16	9.3395E-38	1.74738E-36	down-regulation
TRIM31	9.37467E-07	3.33695E-07	down-regulation
FKBP8	6.00014E-41	1.96203E-39	up-regulation
EI24	8.18539E-33	7.05707E-32	down-regulation
EVI5	7.68773E-23	1.79793E-22	down-regulation
PTPRH	1.34761E-27	5.73433E-27	down-regulation
UGT8	4.1069E-27	1.65814E-26	down-regulation
EDN3	1.17656E-10	6.55593E-11	down-regulation
MSR1	1.32942E-40	3.92305E-39	up-regulation
FGR	3.55316E-15	3.40824E-15	up-regulation
GJC1	3.87576E-26	1.38735E-25	up-regulation
ABCC6	7.51574E-20	1.25481E-19	down-regulation
LOC101930322	7.51574E-20	1.25424E-19	down-regulation
SSTR1	7.13077E-35	8.37615E-34	down-regulation
AMY1A	2.23848E-12	1.52782E-12	down-regulation
AMY1B	2.23848E-12	1.52753E-12	down-regulation
AMY1C	2.23848E-12	1.52725E-12	down-regulation
AMY2A	2.23848E-12	1.52696E-12	down-regulation
PPARG	1.36755E-31	9.84869E-31	down-regulation
CST2	1.31852E-20	2.41462E-20	up-regulation
GPR39	6.81875E-20	1.14423E-19	down-regulation
SPTAN1	6.01729E-27	2.36628E-26	up-regulation
PDIA3	4.60276E-25	1.42913E-24	down-regulation
VAT1	5.42845E-23	1.28613E-22	up-regulation
ACTN1	8.67852E-34	8.70169E-33	up-regulation
PDIA4	1.02165E-17	1.31172E-17	down-regulation
BSG	1.6923E-27	7.13414E-27	up-regulation
CCND1	6.52861E-14	5.3576E-14	down-regulation
FSTL1	3.00371E-33	2.76712E-32	up-regulation
KLHDC3	2.72115E-45	1.82905E-43	up-regulation
THY1	5.82642E-52	1.11305E-49	up-regulation
LCP1	2.43485E-14	2.10622E-14	up-regulation
SLC1A5	1.5223E-24	4.4239E-24	up-regulation
ID1	4.78979E-22	1.02086E-21	down-regulation
ERI3	1.07284E-24	3.18924E-24	up-regulation
CRIP2	9.88011E-25	2.94671E-24	up-regulation
UCP2	1.76011E-19	2.81809E-19	up-regulation
CALCOCO1	4.75674E-32	3.68919E-31	up-regulation
KRT8	1.05987E-13	8.44374E-14	down-regulation
MDK	3.47135E-11	2.06284E-11	up-regulation
SF3B4	3.72318E-46	2.8753E-44	up-regulation
RALGDS	1.49722E-19	2.42825E-19	up-regulation
COL18A1	1.52716E-26	5.70863E-26	up-regulation
CORO1A	1.78929E-08	7.80781E-09	up-regulation
GLOD4	2.42354E-11	1.46709E-11	down-regulation
CTGF	5.76676E-29	2.92338E-28	up-regulation
TSPAN1	1.0226E-31	7.54407E-31	down-regulation
TUBA1A	1.46263E-25	4.83942E-25	up-regulation
MSMO1	2.95494E-11	1.77163E-11	down-regulation
P2RX5-TAX1BP3	1.7677E-25	5.79599E-25	down-regulation
TAX1BP3	1.7677E-25	5.79076E-25	down-regulation
COL6A2	2.91572E-50	4.60135E-48	up-regulation
AKR1C3	1.10948E-35	1.45908E-34	down-regulation
AGR2	5.17192E-23	1.22775E-22	down-regulation
C10orf10	2.033E-23	5.12083E-23	up-regulation
FOS	4.64415E-18	6.28045E-18	up-regulation
TUBB6	9.2483E-41	2.84477E-39	up-regulation
CXCR4	1.59924E-16	1.80159E-16	up-regulation
LMO4	4.54668E-23	1.09219E-22	down-regulation
FERMT2	1.91957E-31	1.33988E-30	up-regulation
CBR1	1.30112E-20	2.38395E-20	down-regulation
TSPAN4	2.97448E-21	5.82957E-21	up-regulation
LAMB3	1.51095E-24	4.39444E-24	down-regulation
TFPI2	2.53103E-05	7.55307E-06	up-regulation
ATP2B1	1.83557E-14	1.61516E-14	down-regulation
CRYAB	2.84288E-26	1.03394E-25	up-regulation
CDC42EP3	2.07513E-14	1.81146E-14	up-regulation
