Gene name,Gene stable ID,Gene type
ADH7,ENSG00000196344,protein_coding
MEOX1,ENSG00000005102,protein_coding
SRGN,ENSG00000122862,protein_coding
CXCL12,ENSG00000107562,protein_coding
GPSM3,ENSG00000237052,protein_coding
CENPB,ENSG00000125817,protein_coding
ZFP36,ENSG00000128016,protein_coding
FTX,ENSG00000230590,lncRNA
TNFRSF11B,ENSG00000164761,protein_coding
OR2A1-AS1,ENSG00000244479,lncRNA
CRB3,ENSG00000130545,protein_coding
ADAMTS12,ENSG00000281690,protein_coding
STC1,ENSG00000159167,protein_coding
COLCA2,ENSG00000214290,protein_coding
KCNJ16,ENSG00000153822,protein_coding
UGT2B15,ENSG00000196620,protein_coding
TMEM144,ENSG00000164124,protein_coding
GKN2,ENSG00000183607,protein_coding
JPX,ENSG00000225470,lncRNA
LAPTM5,ENSG00000162511,protein_coding
KCNJ2,ENSG00000123700,protein_coding
C7,ENSG00000112936,protein_coding
OSTF1,ENSG00000134996,protein_coding
NAGPA,ENSG00000103174,protein_coding
CD74,ENSG00000019582,protein_coding
TSPAN18,ENSG00000157570,protein_coding
CKMT1A,ENSG00000223572,protein_coding
HMGCR,ENSG00000113161,protein_coding
FOXA3,ENSG00000170608,protein_coding
IRF2BP1,ENSG00000170604,protein_coding
CH25H,ENSG00000138135,protein_coding
RAB27B,ENSG00000041353,protein_coding
C16orf89,ENSG00000153446,protein_coding
AMIGO2,ENSG00000139211,protein_coding
ANGPT2,ENSG00000091879,protein_coding
SEC14L5,ENSG00000103184,protein_coding
DHRS7,ENSG00000100612,protein_coding
IL15,ENSG00000164136,protein_coding
IL1R2,ENSG00000115590,protein_coding
IGFBP7,ENSG00000163453,protein_coding
GPD1L,ENSG00000152642,protein_coding
UGT2A3,ENSG00000135220,protein_coding
MAL2,ENSG00000147676,protein_coding
FJX1,ENSG00000179431,protein_coding
HLA-DMB,ENSG00000242386,protein_coding
ATP4B,ENSG00000186009,protein_coding
ATRN,ENSG00000088812,protein_coding
PPP1R14D,ENSG00000166143,protein_coding
TMEM173,ENSG00000184584,protein_coding
SLC44A1,ENSG00000070214,protein_coding
HIST1H2AC,ENSG00000180573,protein_coding
GKN1,ENSG00000169605,protein_coding
CIDEC,ENSG00000187288,protein_coding
SCNN1B,ENSG00000168447,protein_coding
MUC6,ENSG00000277281,polymorphic_pseudogene
TRIM31,ENSG00000225130,protein_coding
HIST1H1C,ENSG00000187837,protein_coding
GOLGA6L9,ENSG00000274320,protein_coding
FAM162B,ENSG00000183807,protein_coding
SOX18,ENSG00000203883,protein_coding
C4A,ENSG00000244207,protein_coding
LRRC70,ENSG00000186105,protein_coding
CCDC68,ENSG00000166510,protein_coding
PARVB,ENSG00000188677,protein_coding
PLEC,ENSG00000178209,protein_coding
FBN1,ENSG00000166147,protein_coding
ADAM28,ENSG00000042980,protein_coding
CHN1,ENSG00000128656,protein_coding
RFX6,ENSG00000185002,protein_coding
SOD3,ENSG00000109610,protein_coding
NNMT,ENSG00000166741,protein_coding
TPP1,ENSG00000166340,protein_coding
CLMP,ENSG00000166250,protein_coding
PDIA3,ENSG00000167004,protein_coding
NAT1,ENSG00000171428,protein_coding
TAS2R43,ENSG00000262612,protein_coding
COL18A1,ENSG00000182871,protein_coding
ADRB2,ENSG00000169252,protein_coding
ZBTB16,ENSG00000109906,protein_coding
PLA2G7,ENSG00000146070,protein_coding
ORM1,ENSG00000229314,protein_coding
ORM2,ENSG00000228278,protein_coding
GAS7,ENSG00000007237,protein_coding
PDZRN4,ENSG00000165966,protein_coding
SPON2,ENSG00000159674,protein_coding
TOX3,ENSG00000103460,protein_coding
ISG20,ENSG00000172183,protein_coding
COL15A1,ENSG00000204291,protein_coding
ILK,ENSG00000166333,protein_coding
STX19,ENSG00000178750,protein_coding
CPT2,ENSG00000157184,protein_coding
AOC3,ENSG00000131471,protein_coding
FAP,ENSG00000078098,protein_coding
ADAMTS8,ENSG00000134917,protein_coding
WNT2,ENSG00000105989,protein_coding
CLDN18,ENSG00000066405,protein_coding
SLC39A11,ENSG00000133195,protein_coding
SPI1,ENSG00000066336,protein_coding
HLA-DQA2,ENSG00000233192,protein_coding
FAM3B,ENSG00000183844,protein_coding
MFSD2B,ENSG00000205639,protein_coding
FKBP1B,ENSG00000119782,protein_coding
PIGV,ENSG00000060642,protein_coding
FAM104A,ENSG00000133193,protein_coding
CST4,ENSG00000101441,protein_coding
SBNO2,ENSG00000278788,protein_coding
CST1,ENSG00000170373,protein_coding
SPHK1,ENSG00000176170,protein_coding
CXCL17,ENSG00000189377,protein_coding
LY86,ENSG00000112799,protein_coding
COL8A2,ENSG00000171812,protein_coding
COCH,ENSG00000100473,protein_coding
C5AR1,ENSG00000197405,protein_coding
CST2,ENSG00000170369,protein_coding
ASB8,ENSG00000177981,protein_coding
HPGD,ENSG00000164120,protein_coding
A4GNT,ENSG00000118017,protein_coding
DBR1,ENSG00000138231,protein_coding
TAS2R43,ENSG00000282537,protein_coding
SLC25A43,ENSG00000077713,protein_coding
ITGB2,ENSG00000160255,protein_coding
CD163,ENSG00000177575,protein_coding
CCDC85C,ENSG00000205476,protein_coding
PPP1R18,ENSG00000225060,protein_coding
GCKR,ENSG00000084734,protein_coding
NOSTRIN,ENSG00000163072,protein_coding
LAIR1,ENSG00000274110,protein_coding
AXL,ENSG00000167601,protein_coding
FADS3,ENSG00000221968,protein_coding
C12orf75,ENSG00000235162,protein_coding
C4B,ENSG00000228267,protein_coding
SLC30A9,ENSG00000014824,protein_coding
LPAR2,ENSG00000064547,protein_coding
IGFBP4,ENSG00000141753,protein_coding
LSP1,ENSG00000130592,protein_coding
NAMPT,ENSG00000105835,protein_coding
FCN1,ENSG00000085265,protein_coding
LRBA,ENSG00000198589,protein_coding
ICAM1,ENSG00000090339,protein_coding
PPP2R1A,ENSG00000105568,protein_coding
CCR7,ENSG00000126353,protein_coding
PLCB3,ENSG00000149782,protein_coding
IGFBP2,ENSG00000115457,protein_coding
HLA-DPA1,ENSG00000168384,protein_coding
GGT6,ENSG00000167741,protein_coding
SYNDIG1,ENSG00000101463,protein_coding
MMP19,ENSG00000123342,protein_coding
SHISA3,ENSG00000178343,protein_coding
PSD3,ENSG00000156011,protein_coding
FLNA,ENSG00000196924,protein_coding
SAMD13,ENSG00000203943,protein_coding
CORO2A,ENSG00000106789,protein_coding
JAG2,ENSG00000184916,protein_coding
VIP,ENSG00000146469,protein_coding
LRP8,ENSG00000157193,protein_coding
SFTA2,ENSG00000224246,protein_coding
CXCL13,ENSG00000156234,protein_coding
CXCL14,ENSG00000145824,protein_coding
RHBDF2,ENSG00000129667,protein_coding
HOOK1,ENSG00000134709,protein_coding
CDC42EP3,ENSG00000163171,protein_coding
GAL3ST1,ENSG00000128242,protein_coding
LGALS4,ENSG00000171747,protein_coding
RAB3IL1,ENSG00000167994,protein_coding
PRKCD,ENSG00000163932,protein_coding
ASPN,ENSG00000106819,protein_coding
OMD,ENSG00000127083,protein_coding
OGN,ENSG00000106809,protein_coding
MARVELD2,ENSG00000152939,protein_coding
ANKRD36BP2,ENSG00000230006,transcribed_unprocessed_pseudogene
TRIM28,ENSG00000130726,protein_coding
OCLN,ENSG00000197822,protein_coding
MNDA,ENSG00000163563,protein_coding
MTERF2,ENSG00000120832,protein_coding
ZBTB3,ENSG00000185670,protein_coding
S1PR1,ENSG00000170989,protein_coding
VIM,ENSG00000026025,protein_coding
SH3BGRL2,ENSG00000198478,protein_coding
FAM135A,ENSG00000082269,protein_coding
COPG1,ENSG00000181789,protein_coding
SERPINA1,ENSG00000197249,protein_coding
CHMP2A,ENSG00000130724,protein_coding
DGKA,ENSG00000065357,protein_coding
CYP2J2,ENSG00000134716,protein_coding
TRNP1,ENSG00000253368,protein_coding
AEBP1,ENSG00000106624,protein_coding
FZD2,ENSG00000180340,protein_coding
MAP1LC3A,ENSG00000101460,protein_coding
UNC5B-AS1,ENSG00000237512,lncRNA
MFGE8,ENSG00000140545,protein_coding
CYP1B1,ENSG00000138061,protein_coding
MRAP2,ENSG00000135324,protein_coding
RASA2,ENSG00000155903,protein_coding
GPR183,ENSG00000169508,protein_coding
SYNC,ENSG00000162520,protein_coding
CXADR,ENSG00000154639,protein_coding
ZNF137P,ENSG00000123870,transcribed_unprocessed_pseudogene
CHGA,ENSG00000100604,protein_coding
SULT1B1,ENSG00000173597,protein_coding
GDPD1,ENSG00000153982,protein_coding
USH1C,ENSG00000006611,protein_coding
AIM2,ENSG00000163568,protein_coding
COX7A1,ENSG00000161281,protein_coding
RAVER1,ENSG00000161847,protein_coding
ARHGAP32,ENSG00000134909,protein_coding
C4orf48,ENSG00000243449,protein_coding
LINC00702,ENSG00000233117,lncRNA
PTPRH,ENSG00000080031,protein_coding
ZNF630,ENSG00000221994,protein_coding
APOBEC1,ENSG00000111701,protein_coding
ETFDH,ENSG00000171503,protein_coding
ST6GALNAC1,ENSG00000070526,protein_coding
FOXQ1,ENSG00000164379,protein_coding
MXRA7,ENSG00000182534,protein_coding
SYTL2,ENSG00000137501,protein_coding
EPB41L4B,ENSG00000095203,protein_coding
TNFRSF21,ENSG00000146072,protein_coding
TGFB1,ENSG00000105329,protein_coding
TST,ENSG00000128311,protein_coding
NAPA,ENSG00000105402,protein_coding
PPP1R18,ENSG00000146112,protein_coding
SLAIN1,ENSG00000139737,protein_coding
COL14A1,ENSG00000187955,protein_coding
CRYBA2,ENSG00000163499,protein_coding
PDIK1L,ENSG00000175087,protein_coding
USP54,ENSG00000166348,protein_coding
PILRA,ENSG00000085514,protein_coding
SLAMF8,ENSG00000158714,protein_coding
SH2D4A,ENSG00000104611,protein_coding
LINC00992,ENSG00000248663,lncRNA
NAPEPLD,ENSG00000161048,protein_coding
PMEPA1,ENSG00000124225,protein_coding
VMP1,ENSG00000062716,protein_coding
PTPN3,ENSG00000070159,protein_coding
FOXC1,ENSG00000054598,protein_coding
HLA-DMB,ENSG00000242092,protein_coding
KRT8,ENSG00000170421,protein_coding
HNRNPL,ENSG00000104824,protein_coding
ASB5,ENSG00000164122,protein_coding
FN1,ENSG00000115414,protein_coding
SBNO2,ENSG00000064932,protein_coding
TNC,ENSG00000041982,protein_coding
ZNF321P,ENSG00000213801,transcribed_processed_pseudogene
TMEM119,ENSG00000183160,protein_coding
FGR,ENSG00000000938,protein_coding
GJC1,ENSG00000182963,protein_coding
SLC25A20,ENSG00000178537,protein_coding
HCG11,ENSG00000228223,lncRNA
IGSF9,ENSG00000085552,protein_coding
TRIM31,ENSG00000226402,protein_coding
FOSB,ENSG00000125740,protein_coding
UGT2B15,ENSG00000277132,protein_coding
SCGB2A1,ENSG00000124939,protein_coding
MRAS,ENSG00000158186,protein_coding
ZNF468,ENSG00000204604,protein_coding
ZNF57,ENSG00000171970,protein_coding
LINC01133,ENSG00000224259,lncRNA
LAIR2,ENSG00000275819,protein_coding
EPS8L1,ENSG00000131037,protein_coding
NR4A3,ENSG00000119508,protein_coding
KIAA1522,ENSG00000162522,protein_coding
CRISPLD1,ENSG00000121005,protein_coding
THSD7A,ENSG00000005108,protein_coding
VEGFC,ENSG00000150630,protein_coding
CSGALNACT1,ENSG00000147408,protein_coding
MPDZ,ENSG00000107186,protein_coding
SNRNP40,ENSG00000060688,protein_coding
TMTC1,ENSG00000133687,protein_coding
PEG10,ENSG00000242265,protein_coding
HLA-DQA2,ENSG00000231823,protein_coding
TGFBI,ENSG00000120708,protein_coding
GMDS,ENSG00000112699,protein_coding
CD2AP,ENSG00000198087,protein_coding
IGSF8,ENSG00000162729,protein_coding
SH3RF1,ENSG00000154447,protein_coding
ISLR,ENSG00000129009,protein_coding
SERPINA4,ENSG00000100665,protein_coding
PLA2G10,ENSG00000069764,protein_coding
ATP1A2,ENSG00000018625,protein_coding
SERPINA3,ENSG00000196136,protein_coding
DNER,ENSG00000187957,protein_coding
TIMP3,ENSG00000100234,protein_coding
MFSD9,ENSG00000135953,protein_coding
DNAJC7,ENSG00000168259,protein_coding
PLA2G10,ENSG00000276870,protein_coding
PRDX5,ENSG00000126432,protein_coding
PRNP,ENSG00000171867,protein_coding
CKMT1B,ENSG00000237289,protein_coding
REEP1,ENSG00000068615,protein_coding
HLA-DPA1,ENSG00000235844,protein_coding
CCL28,ENSG00000151882,protein_coding
RASSF2,ENSG00000101265,protein_coding
ABCC6P1,ENSG00000256340,transcribed_unprocessed_pseudogene
RASSF10,ENSG00000189431,protein_coding
NXN,ENSG00000281300,protein_coding
PEA15,ENSG00000162734,protein_coding
ANAPC2,ENSG00000176248,protein_coding
AQP1,ENSG00000240583,protein_coding
TACR2,ENSG00000075073,protein_coding
REG1B,ENSG00000172023,protein_coding
FUT9,ENSG00000172461,protein_coding
CPNE2,ENSG00000140848,protein_coding
TCN1,ENSG00000134827,protein_coding
COL6A3,ENSG00000163359,protein_coding
SFTA2,ENSG00000230072,protein_coding
UGT2A3,ENSG00000278216,protein_coding
CD300LF,ENSG00000186074,protein_coding
GLDN,ENSG00000186417,protein_coding
REG1A,ENSG00000115386,protein_coding
RAB37,ENSG00000172794,protein_coding
SPTSSB,ENSG00000196542,protein_coding
ARRB2,ENSG00000141480,protein_coding
CD14,ENSG00000170458,protein_coding
ABCC6P2,ENSG00000255277,transcribed_unprocessed_pseudogene
F8,ENSG00000185010,protein_coding
COL11A1,ENSG00000060718,protein_coding
HOOK2,ENSG00000095066,protein_coding
SLC2A14,ENSG00000173262,protein_coding
FNIP2,ENSG00000052795,protein_coding
KLF4,ENSG00000136826,protein_coding
ADIRF,ENSG00000148671,protein_coding
RND1,ENSG00000172602,protein_coding
REG3A,ENSG00000172016,protein_coding
NKX2-2,ENSG00000125820,protein_coding
RHOB,ENSG00000143878,protein_coding
LTBP2,ENSG00000119681,protein_coding
TMPRSS15,ENSG00000154646,protein_coding
FHL5,ENSG00000112214,protein_coding
CPVL,ENSG00000106066,protein_coding
JUNB,ENSG00000171223,protein_coding
TSPAN15,ENSG00000099282,protein_coding
EFHD1,ENSG00000115468,protein_coding
FBLN5,ENSG00000140092,protein_coding
EVI5,ENSG00000067208,protein_coding
ZNF211,ENSG00000121417,protein_coding
LILRB1,ENSG00000277807,protein_coding
ZSCAN4,ENSG00000180532,protein_coding
YIPF5,ENSG00000145817,protein_coding
TRIM31,ENSG00000137397,protein_coding
DHRS9,ENSG00000073737,protein_coding
SLC43A3,ENSG00000134802,protein_coding
ADCY3,ENSG00000138031,protein_coding
C9orf152,ENSG00000188959,protein_coding
LPL,ENSG00000175445,protein_coding
SPATA6,ENSG00000132122,protein_coding
HHIP,ENSG00000164161,protein_coding
PRSS16,ENSG00000112812,protein_coding
RARRES1,ENSG00000118849,protein_coding
AMY2A,ENSG00000243480,protein_coding
SLAMF6,ENSG00000162739,protein_coding
LST1,ENSG00000234514,protein_coding
LST1,ENSG00000226182,protein_coding
CD248,ENSG00000174807,protein_coding
RPS16P5,ENSG00000217527,transcribed_processed_pseudogene
ACKR4,ENSG00000129048,protein_coding
AMY1A,ENSG00000237763,protein_coding
BAIAP2L1,ENSG00000006453,protein_coding
LST1,ENSG00000231048,protein_coding
PLLP,ENSG00000102934,protein_coding
ANXA3,ENSG00000138772,protein_coding
KANK4,ENSG00000132854,protein_coding
C6orf141,ENSG00000197261,protein_coding
STX5,ENSG00000162236,protein_coding
SYTL4,ENSG00000102362,protein_coding
HAS2,ENSG00000170961,protein_coding
TM4SF5,ENSG00000142484,protein_coding
EGR1,ENSG00000120738,protein_coding
ZHX1,ENSG00000165156,protein_coding
TLCD2,ENSG00000275246,protein_coding
BSG,ENSG00000172270,protein_coding
C6,ENSG00000039537,protein_coding
DR1,ENSG00000117505,protein_coding
AMY1B,ENSG00000174876,protein_coding
GLUD1,ENSG00000148672,protein_coding
CLCA1,ENSG00000016490,protein_coding
AMY1C,ENSG00000187733,protein_coding
IL10RB,ENSG00000243646,protein_coding
PRELID2,ENSG00000186314,protein_coding
ITPKA,ENSG00000137825,protein_coding
ABAT,ENSG00000183044,protein_coding
TMEM220,ENSG00000187824,protein_coding
VAT1,ENSG00000108828,protein_coding
SPOCK1,ENSG00000152377,protein_coding
FOXA1,ENSG00000129514,protein_coding
LINC00261,ENSG00000259974,lncRNA
UBXN11,ENSG00000158062,protein_coding
MIR22HG,ENSG00000282800,lncRNA
PTPRZ1,ENSG00000106278,protein_coding
FOXA2,ENSG00000125798,protein_coding
FAHD1,ENSG00000180185,protein_coding
PROSER2,ENSG00000148426,protein_coding
TOM1L1,ENSG00000141198,protein_coding
CTNNBL1,ENSG00000132792,protein_coding
ADAMTS12,ENSG00000151388,protein_coding
PLIN4,ENSG00000167676,protein_coding
SMPD3,ENSG00000103056,protein_coding
PLAGL1,ENSG00000118495,protein_coding
TMEM128,ENSG00000132406,protein_coding
PLEKHF1,ENSG00000166289,protein_coding
LINC01094,ENSG00000251442,lncRNA
COL4A2,ENSG00000134871,protein_coding
CD37,ENSG00000104894,protein_coding
CD93,ENSG00000125810,protein_coding
COL4A1,ENSG00000187498,protein_coding
LLGL2,ENSG00000073350,protein_coding
LIPG,ENSG00000101670,protein_coding
FHL1,ENSG00000022267,protein_coding
DOK4,ENSG00000125170,protein_coding
SH3RF2,ENSG00000156463,protein_coding
ZNF204P,ENSG00000204789,processed_pseudogene
ID1,ENSG00000125968,protein_coding
BANF1,ENSG00000175334,protein_coding
MMP28,ENSG00000271447,protein_coding
RAC2,ENSG00000128340,protein_coding
LTK,ENSG00000062524,protein_coding
DHTKD1,ENSG00000181192,protein_coding
COL16A1,ENSG00000084636,protein_coding
SLC22A18,ENSG00000110628,protein_coding
NPTX2,ENSG00000106236,protein_coding
ANO5,ENSG00000171714,protein_coding
TSTD1,ENSG00000215845,protein_coding
IL7,ENSG00000104432,protein_coding
IQCJ-SCHIP1,ENSG00000283154,protein_coding
DYSF,ENSG00000135636,protein_coding
USF1,ENSG00000158773,protein_coding
ZNF813,ENSG00000198346,protein_coding
SCG3,ENSG00000104112,protein_coding
MS4A4A,ENSG00000110079,protein_coding
SCHIP1,ENSG00000151967,protein_coding
COL6A1,ENSG00000142156,protein_coding
ENG,ENSG00000106991,protein_coding
TTC7B,ENSG00000165914,protein_coding
PPP1R13B,ENSG00000088808,protein_coding
DES,ENSG00000175084,protein_coding
S100P,ENSG00000163993,protein_coding
MAP1B,ENSG00000131711,protein_coding
IGFBP6,ENSG00000167779,protein_coding
MYO5B,ENSG00000167306,protein_coding
BCHE,ENSG00000114200,protein_coding
LMO4,ENSG00000143013,protein_coding
ACOT4,ENSG00000177465,protein_coding
PMM1,ENSG00000100417,protein_coding
HLA-DMB,ENSG00000239329,protein_coding
PET117,ENSG00000232838,protein_coding
FAR1,ENSG00000197601,protein_coding
SSTR1,ENSG00000139874,protein_coding
HHEX,ENSG00000152804,protein_coding
CHPF,ENSG00000123989,protein_coding
AKR1C1,ENSG00000187134,protein_coding
CENPK,ENSG00000123219,protein_coding
FGF7,ENSG00000140285,protein_coding
CLEC14A,ENSG00000176435,protein_coding
CMBL,ENSG00000164237,protein_coding
THEMIS2,ENSG00000130775,protein_coding
SMIM6,ENSG00000259120,protein_coding
TMPRSS2,ENSG00000184012,protein_coding
SMIM5,ENSG00000204323,protein_coding
MAL,ENSG00000172005,protein_coding
CBR1,ENSG00000159228,protein_coding
BBS4,ENSG00000140463,protein_coding
SERPINB9,ENSG00000170542,protein_coding
ZNF708,ENSG00000182141,protein_coding
EMP3,ENSG00000142227,protein_coding
SERPINF1,ENSG00000282307,protein_coding
TNFSF10,ENSG00000121858,protein_coding
CMPK2,ENSG00000134326,protein_coding
RSAD2,ENSG00000134321,protein_coding
NCEH1,ENSG00000144959,protein_coding
G6PC3,ENSG00000141349,protein_coding
IRX3,ENSG00000177508,protein_coding
SLC2A3,ENSG00000059804,protein_coding
CDH3,ENSG00000062038,protein_coding
KIAA0232,ENSG00000170871,protein_coding
TGM2,ENSG00000198959,protein_coding
SULT2A1,ENSG00000105398,protein_coding
FNBP1L,ENSG00000137942,protein_coding
ODAM,ENSG00000109205,protein_coding
BCAR3,ENSG00000137936,protein_coding
TSHZ3,ENSG00000121297,protein_coding
IL13RA2,ENSG00000123496,protein_coding
KRT20,ENSG00000263057,protein_coding
CA4,ENSG00000167434,protein_coding
SHISA6,ENSG00000188803,protein_coding
GAS2,ENSG00000148935,protein_coding
GSTZ1,ENSG00000100577,protein_coding
BCL2L1,ENSG00000171552,protein_coding
FSTL3,ENSG00000070404,protein_coding
LST1,ENSG00000230791,protein_coding
ZNF331,ENSG00000130844,protein_coding
FDCSP,ENSG00000181617,protein_coding
LRCH2,ENSG00000130224,protein_coding
ADTRP,ENSG00000111863,protein_coding
MLPH,ENSG00000115648,protein_coding
TMC4,ENSG00000273722,protein_coding
RGS2,ENSG00000116741,protein_coding
CRNDE,ENSG00000245694,lncRNA
AKR1C2,ENSG00000151632,protein_coding
RGS1,ENSG00000090104,protein_coding
ZNF329,ENSG00000181894,protein_coding
ZCCHC8,ENSG00000033030,protein_coding
C3AR1,ENSG00000171860,protein_coding
GZMK,ENSG00000113088,protein_coding
GLTP,ENSG00000139433,protein_coding
AKR1C3,ENSG00000196139,protein_coding
MMP7,ENSG00000137673,protein_coding
KLRC2,ENSG00000205809,protein_coding
PLS1,ENSG00000120756,protein_coding
CALCOCO1,ENSG00000012822,protein_coding
KLRC1,ENSG00000134545,protein_coding
TWIST1,ENSG00000122691,protein_coding
PTPRF,ENSG00000142949,protein_coding
THY1,ENSG00000154096,protein_coding
SLC29A1,ENSG00000112759,protein_coding
CSF3R,ENSG00000119535,protein_coding
TLR4,ENSG00000136869,protein_coding
FBXO32,ENSG00000156804,protein_coding
TMEM246,ENSG00000165152,protein_coding
MS4A1,ENSG00000156738,protein_coding
ITGBL1,ENSG00000198542,protein_coding
GM2A,ENSG00000196743,protein_coding
MRPS36,ENSG00000278461,protein_coding
FAM189A2,ENSG00000135063,protein_coding
TMEM45B,ENSG00000151715,protein_coding
COL6A2,ENSG00000142173,protein_coding
PDIA4,ENSG00000155660,protein_coding
TMED6,ENSG00000157315,protein_coding
GBP3,ENSG00000117226,protein_coding
MDK,ENSG00000110492,protein_coding
PANK1,ENSG00000152782,protein_coding
HCAR3,ENSG00000255398,protein_coding
FCER1G,ENSG00000158869,protein_coding
FSCN1,ENSG00000075618,protein_coding
LAMA5,ENSG00000130702,protein_coding
ERICH5,ENSG00000177459,protein_coding
C1S,ENSG00000182326,protein_coding
ENTPD5,ENSG00000187097,protein_coding
TRPS1,ENSG00000104447,protein_coding
ABCC6P2,ENSG00000273808,transcribed_unprocessed_pseudogene
HOXC9,ENSG00000180806,protein_coding
HOXC6,ENSG00000197757,protein_coding
HLA-DPA1,ENSG00000228163,protein_coding
HOXC10,ENSG00000180818,protein_coding
TPD52,ENSG00000076554,protein_coding
PGRMC2,ENSG00000164040,protein_coding
ZCCHC24,ENSG00000165424,protein_coding
GRINA,ENSG00000178719,protein_coding
SULF2,ENSG00000196562,protein_coding
PLCB4,ENSG00000101333,protein_coding
SLC20A1,ENSG00000144136,protein_coding
MS4A8,ENSG00000166959,protein_coding
PTGR1,ENSG00000106853,protein_coding
MLF2,ENSG00000089693,protein_coding
ARHGEF37,ENSG00000183111,protein_coding
ACOX3,ENSG00000087008,protein_coding
MFAP5,ENSG00000197614,protein_coding
MMP3,ENSG00000149968,protein_coding
SVIP,ENSG00000198168,protein_coding
FBXL4,ENSG00000112234,protein_coding
GPX8,ENSG00000164294,protein_coding
MAFB,ENSG00000204103,protein_coding
SLC6A14,ENSG00000268104,protein_coding
FCGBP,ENSG00000275395,protein_coding
FUT8,ENSG00000033170,protein_coding
AKR1C4,ENSG00000198610,protein_coding
LYZ,ENSG00000090382,protein_coding
EFEMP2,ENSG00000172638,protein_coding
PIP5K1C,ENSG00000186111,protein_coding
SLC44A3,ENSG00000143036,protein_coding
APOD,ENSG00000189058,protein_coding
GYPC,ENSG00000136732,protein_coding
CEACAM6,ENSG00000086548,protein_coding
CEACAM5,ENSG00000105388,protein_coding
OTUD1,ENSG00000165312,protein_coding
NR2F2-AS1,ENSG00000247809,lncRNA
CRYL1,ENSG00000165475,protein_coding
BDH2,ENSG00000164039,protein_coding
BTBD2,ENSG00000133243,protein_coding
LST1,ENSG00000206433,protein_coding
SLC16A5,ENSG00000170190,protein_coding
UCP2,ENSG00000175567,protein_coding
CADPS2,ENSG00000081803,protein_coding
MAMDC2,ENSG00000165072,protein_coding
MYO5C,ENSG00000128833,protein_coding
TUBA1A,ENSG00000167552,protein_coding
C4B,ENSG00000224389,protein_coding
CDC42EP1,ENSG00000128283,protein_coding
HLA-DMB,ENSG00000226264,protein_coding
MAOA,ENSG00000189221,protein_coding
FCGR3A,ENSG00000203747,protein_coding
TMEM176A,ENSG00000002933,protein_coding
GNA11,ENSG00000088256,protein_coding
CFHR1,ENSG00000244414,protein_coding
PLD3,ENSG00000105223,protein_coding
PRRG4,ENSG00000135378,protein_coding
ARL14,ENSG00000179674,protein_coding
QSER1,ENSG00000060749,protein_coding
EGR2,ENSG00000122877,protein_coding
ADAMTS2,ENSG00000087116,protein_coding
FCGR3B,ENSG00000162747,protein_coding
C7orf31,ENSG00000153790,protein_coding
NID2,ENSG00000087303,protein_coding
SMIM22,ENSG00000267795,protein_coding
SLA,ENSG00000155926,protein_coding
RAB34,ENSG00000109113,protein_coding
SLC35A1,ENSG00000164414,protein_coding
SBDS,ENSG00000126524,protein_coding
PCGF1,ENSG00000115289,protein_coding
GUCA2B,ENSG00000044012,protein_coding
FAM83E,ENSG00000105523,protein_coding
ZFP3,ENSG00000180787,protein_coding
GPT,ENSG00000167701,protein_coding
PLK1,ENSG00000166851,protein_coding
CD79A,ENSG00000105369,protein_coding
UXS1,ENSG00000115652,protein_coding
TDGF1P3,ENSG00000225366,transcribed_processed_pseudogene
SFTA2,ENSG00000206465,protein_coding
OLFML2B,ENSG00000162745,protein_coding
ENTPD1,ENSG00000138185,protein_coding
CPZ,ENSG00000109625,protein_coding
GFPT1,ENSG00000198380,protein_coding
TEAD4,ENSG00000197905,protein_coding
PPIL4,ENSG00000131013,protein_coding
UAP1,ENSG00000117143,protein_coding
PSAPL1,ENSG00000178597,protein_coding
SLC45A4,ENSG00000022567,protein_coding
DDR2,ENSG00000162733,protein_coding
HSP90AB1,ENSG00000096384,protein_coding
UPK1B,ENSG00000114638,protein_coding
PPP1R18,ENSG00000206485,protein_coding
NECAP1,ENSG00000089818,protein_coding
TUBAL3,ENSG00000178462,protein_coding
PDE4B,ENSG00000184588,protein_coding
CRIP2,ENSG00000182809,protein_coding
PTP4A3,ENSG00000184489,protein_coding
SLC15A3,ENSG00000110446,protein_coding
PLEKHA2,ENSG00000169499,protein_coding
MMP12,ENSG00000262406,protein_coding
XK,ENSG00000047597,protein_coding
OTC,ENSG00000036473,protein_coding
STYK1,ENSG00000060140,protein_coding
PCSK1,ENSG00000175426,protein_coding
CHRDL1,ENSG00000101938,protein_coding
SYTL5,ENSG00000147041,protein_coding
ESRP2,ENSG00000103067,protein_coding
DNAJC22,ENSG00000178401,protein_coding
SPARC,ENSG00000113140,protein_coding
C3orf52,ENSG00000114529,protein_coding
EGLN3,ENSG00000129521,protein_coding
ETNK1,ENSG00000139163,protein_coding
THBS1,ENSG00000137801,protein_coding
AAAS,ENSG00000094914,protein_coding
SLITRK6,ENSG00000184564,protein_coding
NIPAL1,ENSG00000163293,protein_coding
BRSK1,ENSG00000160469,protein_coding
ITGA5,ENSG00000161638,protein_coding
FGFBP1,ENSG00000137440,protein_coding
LGALSL,ENSG00000119862,protein_coding
LST1,ENSG00000235915,protein_coding
SH3BP5,ENSG00000131370,protein_coding
SLCO2B1,ENSG00000137491,protein_coding
PROM1,ENSG00000007062,protein_coding
GPR84,ENSG00000139572,protein_coding
NQO1,ENSG00000181019,protein_coding
